Timestamp,Symbol,Timeframe,Strategy,Volume,Volatility (%),Liquidity,Spread (%),Depth,Entry Price,Stop Loss,Target 1,Target 2,Final Target,T1 Gain (%),T2 Gain (%),Final Gain (%)
2025-03-27 10:58:27,ETC/USDT,1d,Z-Score Statistical Strategy,2541133.58685986,105.56,High,0.0198527587062744,130.751782,18.1169,17.1630,19.0708,19.7067,20.6606,5.27,8.78,14.04
2025-03-27 10:58:32,SAND/USDT,1d,Z-Score Statistical Strategy,225313708.91762426,206.41,High,0.02593781409072545,3614.6813,0.3088,0.2870,0.3305,0.3450,0.3668,7.05,11.75,18.79
2025-03-27 10:58:33,RAY/USDT,1d,Z-Score Statistical Strategy,58479214.56539152,495.67,High,0.024945743008941694,1669.0509,2.0068,1.6874,2.3262,2.5391,2.8585,15.92,26.53,42.44
2025-03-27 10:58:35,LDO/USDT,1d,Z-Score Statistical Strategy,98168627.13645436,199.61,High,0.02879769618430209,8118.273,1.0420,0.9495,1.1345,1.1962,1.2887,8.88,14.8,23.67
2025-03-27 10:58:37,S/USDT,1d,Z-Score Statistical Strategy,288414497.82753575,215.19,High,0.0163599182004072,7100.61,0.6110,0.5375,0.6845,0.7334,0.8069,12.02,20.04,32.06
2025-03-27 10:58:39,DOGE/USDT,1d,Z-Score Statistical Strategy,7430413950.202181,204.08,High,0.005119672340975298,269649.0379,0.1953,0.1799,0.2107,0.2210,0.2364,7.88,13.13,21.01
2025-03-27 10:58:42,COQ/USDT,1d,Z-Score Statistical Strategy,31391394575735.07,342.35,High,0.014264317809001855,36769254944.0,0.0000007010,0.0000006068,0.0000007952,0.0000008579,0.0000009521,13.43,22.39,35.82
2025-03-27 10:58:43,SEI/USDT,1d,Z-Score Statistical Strategy,881775067.8620422,208.53,High,0.04751722499405511,378437.6341,0.2104,0.1950,0.2258,0.2360,0.2514,7.3,12.17,19.47
2025-03-27 10:58:44,ENS/USDT,1d,Z-Score Statistical Strategy,2249944.2754179304,186.31,High,0.03899612824156124,243.234,17.9460,16.4328,19.4592,20.4680,21.9811,8.43,14.05,22.48
2025-03-27 10:58:46,ARB/USDT,1d,Z-Score Statistical Strategy,441423046.14843404,224.19,High,0.02610625244745829,156437.92309999999,0.3830,0.3538,0.4122,0.4316,0.4608,7.62,12.7,20.31
